ISP,Country,ASN
NecusoftCia.Ltda.(nettplus),EC,AS262223 NECUSOFT CIA. LTDA. (NETTPLUS)
OtecelS.A.,EC,AS264668 NEDETEL S.A.
Comunicate,EC,AS266783 Anibal Humberto Enriquez Moncayo(Comunicate)
CorporacionNacionalDeTelecomunicaciones-CntE,EC,AS28006 CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP
NedetelS.A.,EC,AS264668 NEDETEL S.A.
LojasystemC.a.,EC,AS266894 LOJASYSTEM C.A.
ClaroEcuador,EC,AS27738 Ecuadortelecom S.A.
GONET,EC,AS270049 MARVICNET CIA LTDA
ETAPAEP,EC,AS27668 ETAPA EP
PuntonetS.A.,EC,AS22724 PUNTONET S.A.
Universal-stereoC.l.,UZ,AS64466 UNIVERSAL MOBILE SYSTEMS LCC
TelealfacomCia.Ltda.,EC,AS264825 TELEALFACOM CIA. LTDA.
UFINETECUADORUFIECS.A.,EC,AS52468 UFINET PANAMA S.A.
CubotelecomCia.Ltda.,EC,AS267699 CUBOTELECOM CIA. LTDA.
CONECEL,EC,AS23487 CONECEL
GedatecuSA.,EC,AS263238 Eliana Vanessa Morocho Oña
ClaroPeru,PE,AS12252 America Movil Peru S.A.C.
ConexiontotalS.A.,EC,AS266812 CONEXIONTOTAL S.A.
Intercom,EC,AS266802 CODGREC S.A.
InnoFiberInfiCiaLtda,EC,AS271822 INNO FIBER INFI CIA LTDA
ElianaVanessaMorochoOna,EC,AS263238 Eliana Vanessa Morocho Oña
AngelBenignoCondoloGuaya,EC,AS265632 ANGEL BENIGNO CONDOLO GUAYA
TVORO,EC,AS269831 SERVICIO DE TELECOMUNICACIONES OROBLA S. A
SARAGUROSNET,EC,AS270009 GUALAN JAPON LUIS JOAQUIN (SARAGUROSNET)
Satnet,EC,AS14522 Satnet
MONVISIONS.A,EC,AS269936 TELEVISION MONTALVO VISION MONVISION S.A.
ZenixTelecomunicacionesS.A.,,
Speedycom,EC,AS52238 SPEEDYCOM
OptiCom,EC,AS266904 ALCIVAR ESPIN DANNY ALEXANDER (OptiCom)
IskonInternet,HR,AS13046 ISKON INTERNET d.d. za informatiku i telekomunikacije
PRO-PINGd.o.o.,UA,AS209863 PROLVL Ltd.
A1Hrvatska,HR,AS15994 A1 Hrvatska d.o.o.
OptimaTelekom,HR,AS34594 OT - OPTIMA TELEKOM d.d.
HrvatskiTelekom,HR,AS5391 Hrvatski Telekom d.d.
VIPNET,HR,AS31012 A1 Hrvatska d.o.o.
TelemachHrvatskad.o.o.,HR,AS205714 Telemach Hrvatska d.o.o.
MicrosoftCorporation,US,AS8075 Microsoft Corporation
HostUniversalPty,,
PalauNationalCommunicationsCorp.,PW,AS17893 Palau National Communications Corp.
TelecomVanuatuLimited,VU,AS9249 Telecom Vanuatu Limited
IspSurSAS,AR,AS267861 ISP SUR SAS
TelefoníaPúblicayPrivadaS.A.,,
GiganetTelecomunicaciones,BR,AS267686 TELCAB ARGENTINA S.A
"Coop.PopulardeElec.,ObrasyServiciosPub.de",AR,"AS27927 Coop. Popular de Elec., Obras y Servicios Pub. de Santa Rosa LTDA"
CooperativaTelefónicaSantaMariaLimitada,,
CoseidiS.A.,AR,AS52409 COSEIDI S.A.
CooperativaArbolito,AR,AS265704 COOPERATIVA ARBOLITO
LimaVideoCableS.A.(Cabletel),AR,AS52339 Lima Video Cable S.A. (Cabletel)
CPS,AR,AS11014 CPS
DelcoImagenS.A.,AR,AS265816 DELCO IMAGEN S.A.
NetlatinS.r.l.,AR,AS264732 NETLATIN S.R.L.
Coop.MarianoAcosta,AR,AS28066 COOP. MARIANO ACOSTA
AlphaTelS.A.,AR,AS28114 Alpha Tel S.A.
Coop.deLuzyFuerzaElect.IndustriayOtrosSer,AR,"AS264830 Coop. de Luz y Fuerza Eléct. Industria y Otros Serv. Públicos,Vivienda y Crédito de Punta Alta Ltda"
APInter,AR,AS52477 ApInter
WABCOMS.A.S,AR,AS267897 WABCOM S.A.S.
UniversalVideoCableSrl,AR,AS267786 UNIVERSAL VIDEO CABLE SRL
ServiciosDeTecnologiaAplicadaSrl,AR,AS52259 SERVICIOS DE TECNOLOGIA APLICADA SRL
JumpnetSolucionesdeInternetS.R.L.,AR,AS52363 Jumpnet Soluciones de Internet S.R.L.
ClaroArgentina,AR,AS11664 Techtel LMDS Comunicaciones Interactivas S.A.
LevelSevenS.R.L.,AR,AS265798 LEVEL SEVEN SRL
NuñezBaddouhMarceloRicardo(sernet),,
BURGOSEDUARDOJOSEMARIA(BVCOMCOMUNICACIONES),,
WNinternet.com,AR,AS52465 WNet Internet y Hosting
VanetTelecomunicacionesS.r.l.,AR,AS264765 VANET TELECOMUNICACIONES S.R.L.
MovistarArgentina,AR,AS11315 Telefónica Móviles Argentina S.A. (Movistar Argentina)
LuisEduardoCidAire-net,AR,AS269948 LUIS EDUARDO CID (AIRE-NET)
WirelessProvider,AR,AS264619 Wireless Provider
BarinetS.r.l.,AR,AS265771 BARINET S.R.L.
GobernaciondelaProvinciadeBuenosAires,AR,AS27967 Gobernacion de la Provincia de Buenos Aires
"LaTomaCable,S.A.",AR,AS27983 Red Intercable Digital S.A.
RedIntercableDigitalS.A.,AR,AS27983 Red Intercable Digital S.A.
InternetServicesS.A.,AR,AS7005 InterServer SA
GustavoJavierVultaggio,AR,AS271815 GUSTAVO JAVIER VULTAGGIO
GlobalradioS.A.,AR,AS270054 GLOBALRADIO S.A.
FibernetArgentinaS.r.l.,AR,AS269912 FIBERNET ARGENTINA S.R.L.
NSSS.A.,AR,AS16814 NSS S.A.
VOSBUSINESSINTERNET,AR,"AS3549 Level 3 Parent, LLC"
CooperativasDeCalamuchita-ConsorcioDeCoopera,AR,AS263230 COOPERATIVAS DE CALAMUCHITA - CONSORCIO DE COOPERACIÓN
AriasBalaguerMarcosEmmanuel(marea),AR,AS267687 ARIAS BALAGUER MARCOS EMMANUEL (MAREA)
RedesBandaAnchaSolucionesS.r.l,AR,AS265749 REDES BANDA ANCHA SOLUCIONES S.R.L
AguasDelColoradoSapem,AR,AS52308 AGUAS DEL COLORADO SAPEM
CooperativaColoniaCaroya,AR,AS27940 Cooperativa Colonia Caroya
RsoApoloHidalgoS.r.l.,AR,AS27964 RSO APOLO HIDALGO S.R.L.
MorenoPabloDanielSolnetIsp,AR,AS265739 MORENO PABLO DANIEL (SOLNET ISP)
IntercomSRL,AR,AS52420 Intercom SRL
Coop.EléctricaydeServiciosPúblicosLuján,,
IntercityComunicacionesS.A.,AR,AS52402 INTERCITY COMUNICACIONES S.A.
RubenOscarMossoINTERZONAWIFI,AR,AS265817 Ruben Oscar Mosso(INTERZONA WIFI)
ElCuatroNet,AR,AS52312 TV MUSIC HOUSE JUJUY
MercoComunicaciones,AR,AS28015 MERCO COMUNICACIONES
ApiCenterGroupS.a.s.,AR,AS271848 API CENTER GROUP S.A.S.
LATENCIA0,AR,AS263793 TECNET ARGENTINA S.A.
InternetParaTodos-GobiernodeLaRioja,AR,AS28048 Internet Para Todos - Gobierno de La Rioja
TelesistemaS.r.l.,AR,AS264642 TELESISTEMA S.R.L.
Coop.LtdadeElectricidadyServiciosAnexosdeH,AR,AS27997 Coop. Ltda de Electricidad y Servicios Anexos de Huinca Renancó
LosAmoresS.A.,AR,AS27787 LOS AMORES S.A.
TELCOCOM,AR,AS52322 TELCOCOM
AiquelEduardoRaul(cableVisionSp),AR,AS265637 AIQUEL EDUARDO RAUL (CABLE VISION SP)
TecnologíaWorkOutS.A.,,
CablevideoDigitalS.A,AR,AS263699 Cablevideo Digital S.A
LeFaviDanielOsvaldo,AR,AS264857 LE FAVI DANIEL OSVALDO
RedUnoSRL,AR,AS263726 Red Uno SRL
CooperativaDeElectricidadYS.A.DeDionisiaLt,AR,AS264849 COOPERATIVA DE ELECTRICIDAD Y S. A. DE DIONISIA LTDA.
IPCOMSNETWORKS,AR,AS269747 BENTO IVAN GABRIEL(IPCOMS NETWORKS)
InfinetFibra,AR,AS267878 NETCOMM ARGENTINA SRL
SiTSAFiberNetwork,AR,AS52444 Pogliotti & Pogliotti Construcciones S.A.
ConnflexSrl,AR,AS267766 CONNFLEX SRL
EternetS.r.l.,,
Personal,AR,AS7303 Telecom Argentina S.A.
AtlanticaVideoCableS.A.,AR,AS52354 Atlantica Video Cable S.A.
BreñasCableColorS.r.l,,
BocaRojaS.A.,AR,AS265663 BOCA ROJA S.A.
Coop.deObrasyServ.PublicosdeBrinkmann,AR,AS52430 Coop. de Obras y Serv. Públicos de Brinkmann
ResearchSrl,,
MMComunicacionesS.A,AR,AS263764 MM Comunicaciones S.A
MegasMayoristas,AR,AS264800 TECHTRON ARGENTINA S.A.
NodosudS.A,AR,AS27953 NODOSUD S.A
NodonetS.A.,AR,AS263739 NODONET S.A.
NeunetS.A.,AR,AS27751 Neunet S.A.
SociedadCooperativaPopularLimitadadeComodoro,AR,AS52381 Sociedad Cooperativa Popular Limitada de Comodoro
CooperativaVilladelRosarioCoovilros,AR,AS28100 Cooperativa Villa del Rosario (Coovilros)
LinkearSrl,AR,AS263801 LINKEAR SRL
